Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Callicebus pallescens,Willemen et al. (2015),LC,Mammalia,832.1,-0.7936010252631963,-0.43093736298910335
Callicebus personatus,Willemen et al. (2015),VU,Mammalia,1350,0.344349093342352,0.7799282253893002
Callicebus torquatus,Willemen et al. (2015),LC,Mammalia,1050,-0.4896744340831805,-0.12729357520708426
Callimico goeldii,Willemen et al. (2015),VU,Mammalia,480,0.8172475111773934,1.2539557802425014
Calliophis intestinalis,Willemen et al. (2015),LC,Reptilia,110.6569880331741,-0.23194562494273616,0.10537134722572286
Callipepla californica,Willemen et al. (2015),LC,Aves,162,1.6820869565463195,1.215694757204463
Callipepla gambelii,Willemen et al. (2015),LC,Aves,167.4,1.215889431308975,0.7494902235304542
Callipepla squamata,Willemen et al. (2015),LC,Aves,177,0.6247503975752204,0.15833873035374052
Calliphlox amethystina,Willemen et al. (2015),LC,Aves,3,1.0060230531933054,0.5398372133754575
Callisaurus draconoides,Willemen et al. (2015),LC,Reptilia,39.736602778240105,0.9505631209489996,1.2879721377523246
Callithrix aurita,Willemen et al. (2015),VU,Mammalia,342,0.16982347472147255,0.6067108482791164
Callithrix flaviceps,Willemen et al. (2015),EN,Mammalia,342,0.23321849565437183,0.6530156352983594
Callithrix geoffroyi,Willemen et al. (2015),LC,Mammalia,342,0.98980874443536,1.353108487229683
Callithrix jacchus,Willemen et al. (2015),LC,Mammalia,292,1.4468117315332927,1.8101763672596936
Callithrix kuhlii,Willemen et al. (2015),NT,Mammalia,342,0.07198096623727977,0.5140192711498608
Callithrix penicillata,Willemen et al. (2015),LC,Mammalia,342,1.1288958458159268,1.4921955886102498
Callocephalon fimbriatum,Willemen et al. (2015),LC,Aves,258.5,0.9698397805297427,0.5033223378289757
Callonetta leucophrys,Willemen et al. (2015),LC,Aves,321,1.2113829847982076,0.7447844259323428
Callosciurus baluensis,Willemen et al. (2015),LC,Mammalia,356,-1.195370124927405,-0.8320885521540641
Callosciurus caniceps,Willemen et al. (2015),LC,Mammalia,257,-0.40973128375505463,-0.04632122297619897
Callosciurus erythraeus,Willemen et al. (2015),LC,Mammalia,280,0.7314788750419327,1.0948590850720321
Callosciurus finlaysonii,Willemen et al. (2015),LC,Mammalia,278,-0.23194562494273616,0.13143718080464667
Callosciurus inornatus,Willemen et al. (2015),LC,Mammalia,325,-1.4992967161074209,-1.1359749097161915
Callosciurus nigrovittatus,Willemen et al. (2015),NT,Mammalia,202,-0.4896744340831805,-0.04745442896078062
Callosciurus notatus,Willemen et al. (2015),LC,Mammalia,197.5,0.7368589840858458,1.1003462674538749
Callosciurus prevostii,Willemen et al. (2015),LC,Mammalia,361.5,0.4588851377513378,0.8221595723021502
Callosciurus pygerythrus,Willemen et al. (2015),LC,Mammalia,252,-1.0175844661150866,-0.6541679160430229
Calomys expulsus,Willemen et al. (2015),LC,Mammalia,28.2,-1.4992967161074209,-1.135589705271376
Calomys laucha,Willemen et al. (2015),LC,Mammalia,14,-1.195370124927405,-0.8316446844986499
Calomys lepidus,Willemen et al. (2015),LC,Mammalia,26.6,-1.4992967161074209,-1.1355876286975493
Calomyscus bailwardi,Willemen et al. (2015),LC,Mammalia,20.4,-1.195370124927405,-0.8316529907939557
Calonectris diomedea,Willemen et al. (2015),LC,Aves,817.3,1.3234860472694772,0.8562433611598043
Calotes ellioti,Willemen et al. (2015),LC,Reptilia,14.370443979184227,-0.3421403132339983,-0.004698374742272561
Calothorax lucifer,Willemen et al. (2015),LC,Aves,3.5,0.44349852793835204,-0.02268796080881679
Calothorax pulcher,Willemen et al. (2015),LC,Aves,2.8,-1.195370124927405,-1.6615557051735248
Calotriton asper,Willemen et al. (2015),NT,Amphibia,7.1,0.5454972133782753,0.7067856692290605
Caluromys derbianus,Willemen et al. (2015),LC,Mammalia,297,-0.7136578749350705,-0.3502997285018774
Caluromys lanatus,Willemen et al. (2015),LC,Mammalia,325,-0.3421403132339983,0.02118149315723102
Caluromys philander,Willemen et al. (2015),LC,Mammalia,229.3,-0.44788345683462255,-0.08443744537139564
Caluromysiops irrupta,Willemen et al. (2015),LC,Mammalia,250,-1.4992967161074209,-1.1358775703180743
Calypte anna,Willemen et al. (2015),LC,Aves,4,2.2299723152393063,1.7637851775628173
